ResponseId,WaveYear,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Gender,Age,Formal Education,Degree Status,Major,Experience_1,Experience_2,Experience_3,Experience_4,Experience_5,Experience_6,Q31_NPS_GROUP,Competition NPS,Q33_1,Q33_2,Q33_3,Q33_4,Prepared_Environment,Prepared_Rules,Prepared_Role,Prepared_Actions,Prepared_Communication,Prepared_Ethics,Scenario_Iterate,Scenario_OptionSelect_ParentTopics,Team ID,Differing abilities_1,Differing abilities_2,Differing abilities_3,CD-1,CD-2,CD-3,CD-4,OC-1,OC-2,OC-3,OC-4,OC-5,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q27_NPS_GROUP,Q27,Q28_NPS_GROUP,Q28,Q29_NPS_GROUP,Q29
R_25uoWzLHB5iSoat,5.0,10/11/2020 15:11,10/11/2020 15:19,0,98.183.5.43,100,487,1,10/11/2020 15:19,,,,,30.4593963623046875,-87.20749664,qr,EN,1,2,1,3,3,Cybersecurity ,2,3,0,3,7,4,2,8,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_3fBqOIu0i1FRRyh,5.0,10/11/2020 15:10,10/11/2020 15:20,0,132.177.238.73,100,582,1,10/11/2020 15:20,,,,,43.117401123046875,-70.91970062,qr,EN,1,2,1,1,1,Computer Science,2,,,7,0,1,1,5,,,,,1.0,0.93,1.0,1.0,0.1,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_3MLHFbrHoH1i19Y,5.0,10/11/2020 15:10,10/11/2020 15:21,0,132.177.238.69,100,626,1,10/11/2020 15:21,,,,,43.117401123046875,-70.91970062,qr,EN,1,2,1,1,1,Computer Science,,,,5,,,1,5,,,,,1.0,1.0,1.0,1.0,0.8,0.75,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_3nASCnBXRScLMyZ,5.0,10/11/2020 15:13,10/11/2020 15:21,0,97.102.74.100,100,488,1,10/11/2020 15:21,,,,,28.03179931640625,-80.59580231,anonymous,EN,1,2,1,2,1,computer science,0,3,1,4,0,7,2,7,,,,,0.82,1.0,0.89,1.0,0.97,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_3PUcwYrKUeJdEId,5.0,10/11/2020 15:12,10/11/2020 15:22,0,97.100.178.130,100,588,1,10/11/2020 15:22,,,,,28.6840972900390625,-81.28119659,anonymous,EN,1,1,2,1,3,Computer Science,3,6,1,4,,7,3,10,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_cYYE7KJr9z8Kv6h,5.0,10/11/2020 15:12,10/11/2020 15:23,0,68.105.26.14,100,628,1,10/11/2020 15:23,,,,,41.38439941,-81.70030212,anonymous,EN,1,2,2,3,3,cybersecurity,0,3,0,3,4,0,3,10,,,,,0.75,1.0,0.75,0.76,0.8,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_e3zb4sH20YbdAtj,5.0,10/11/2020 15:10,10/11/2020 15:24,0,70.171.42.254,100,801,1,10/11/2020 15:24,,,,,29.613800048828125,-82.38600159,qr,EN,1,2,2,2,4,Computer Science,7,4,1,3,7,7,3,10,,,,,0.32,0.56,0.77,0.79,0.57,0.71,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_2xQ3ZJGWYEaIPVY,5.0,10/11/2020 15:11,10/11/2020 15:29,0,97.102.238.140,100,1103,1,10/11/2020 15:29,,,,,28.0608062744140625,-80.67220306,anonymous,EN,1,2,3,1,3,Computer Science,,3,0,2,7,7,3,10,,,,,0.7,0.8,0.7,0.5,0.6,0.75,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_9Yyb8IbWFLZykFj,5.0,10/11/2020 15:12,10/11/2020 15:30,0,128.194.2.77,100,1053,1,10/11/2020 15:30,,,,,30.5478057861328125,-96.27149963,anonymous,EN,1,2,1,2,1,Computer Engineering,5,4,1,3,0,7,3,10,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_2B5pavWZR2YXfMB,5.0,10/11/2020 16:02,10/11/2020 16:06,0,66.25.39.48,100,252,1,10/11/2020 16:06,,,,,32.8755950927734375,-96.74949646,qr,EN,1,2,1,2,3,Computer Science,6,4,1,3,0,3,3,10,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_AuNKFeD9SEGkaWZ,5.0,10/11/2020 16:03,10/11/2020 16:07,0,173.174.197.218,100,245,1,10/11/2020 16:07,,,,,29.702606201171875,-98.47589874,anonymous,EN,1,2,1,3,1,Computer Science,3,2,,5,0,3,2,8,,,,,0.6,0.1,0.21,0.44,0.8,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_3frABUdFhthiaLS,5.0,10/11/2020 16:02,10/11/2020 16:07,0,174.196.1.99,100,297,1,10/11/2020 16:07,,,,,36.186798095703125,-86.50669861,qr,EN,1,2,2,4,1,Computer Science ,2,3,,5,7,7,3,10,,,,,0.45,0.74,1.0,0.61,0.38,0.99,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_3oC8czwHTytZbCF,5.0,10/11/2020 16:03,10/11/2020 16:09,0,70.122.43.158,100,384,1,10/11/2020 16:09,,,,,29.6320953369140625,-98.7542038,anonymous,EN,1,2,1,1,3,Cyber Security ,1,1,1,4,5,7,2,8,,,,,0.81,0.0,0.83,0.86,0.92,0.83,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_2z7u7JbdAcs1GDr,5.0,10/11/2020 16:04,10/11/2020 16:10,0,153.33.22.101,100,339,1,10/11/2020 16:10,,,,,29.5652008056640625,-98.61450195,anonymous,EN,1,1,1,4,4,Cyber Security,0,3,,4,7,3,2,7,,,,,0.81,0.49,0.77,0.81,0.6,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_3nq4fiylPm1BHux,5.0,10/11/2020 16:02,10/11/2020 16:10,0,173.230.7.84,100,444,1,10/11/2020 16:10,,,,,40.44439697265625,-86.92559814,qr,EN,1,2,1,4,1,Cybersecurity,0,2,,4,7,7,3,10,,,,,0.72,0.6,0.9,0.75,1.0,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_3oMahw6xlFmHotW,5.0,10/11/2020 16:03,10/11/2020 16:10,0,129.244.143.32,100,400,1,10/11/2020 16:10,,,,,36.1493072509765625,-95.94989777,anonymous,EN,1,2,1,3,1,Computer Science,3,1,0,4,3,7,3,9,,,,,0.72,1.0,0.87,0.77,0.7,0.73,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_3EoHH3NS78vqwI6,5.0,10/11/2020 16:04,10/11/2020 16:10,0,98.235.202.195,100,371,1,10/11/2020 16:10,,,,,40.178802490234375,-77.00469971,qr,EN,1,1,1,3,3,Computer science,5,3,3,5,3,6,3,10,,,,,0.79,1.0,1.0,0.67,1.0,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_rqC8FVMWGp83dyV,5.0,10/11/2020 16:03,10/11/2020 16:10,0,69.57.194.231,100,428,1,10/11/2020 16:10,,,,,42.5243072509765625,-92.44789886,anonymous,EN,1,1,1,3,3,Computer Science,1,3,1,4,0,,2,8,,,,,0.9,1.0,0.91,0.9,1.0,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_3jUrCPw3kdrZrZj,5.0,10/11/2020 16:03,10/11/2020 16:11,0,68.102.26.238,100,450,1,10/11/2020 16:11,,,,,39.191802978515625,-96.58180237,anonymous,EN,1,2,2,1,1,computer science,,,,2,,,2,8,,,,,0.1,0.1,0.2,0.11,0.11,0.12,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_2zA9cLWLylNKppw,5.0,10/11/2020 16:03,10/11/2020 16:11,0,97.81.186.168,100,508,1,10/11/2020 16:11,,,,,36.217803955078125,-85.54229736,qr,EN,1,2,1,3,3,,7,4,1,5,7,7,3,9,,,,,0.5,0.55,0.56,0.64,0.64,0.51,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_1FyT6qN0bB1yXZa,5.0,10/11/2020 16:04,10/11/2020 16:11,0,150.201.170.181,100,454,1,10/11/2020 16:11,,,,,37.31750488,-89.54589844,anonymous,EN,1,2,1,3,1,Cybersecurity,3,4,0,3,6,4,1,4,,,,,0.82,0.82,0.91,0.9,0.88,0.89,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_1JLwGGLKZjjihHh,5.0,10/11/2020 16:03,10/11/2020 16:11,0,108.16.118.205,100,496,1,10/11/2020 16:11,,,,,39.9842987060546875,-75.22660065,anonymous,EN,1,2,1,3,1,computing and security technology,4,1,1,3,7,2,3,9,,,,,0.92,0.81,1.0,0.88,0.9,0.78,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_aWuDFzhv4iSUvNT,5.0,10/11/2020 16:02,10/11/2020 16:11,0,97.81.186.168,100,555,1,10/11/2020 16:11,,,,,36.217803955078125,-85.54229736,qr,EN,1,2,1,2,3,Computer Science,1,3,,2,0,2,3,10,,,,,0.8,1.0,0.5,1.0,0.76,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_3Kq1dm2KUh0B01E,5.0,10/11/2020 16:03,10/11/2020 16:12,0,72.210.99.140,100,515,1,10/11/2020 16:12,,,,,36.11749267578125,-95.81960297,anonymous,EN,1,2,1,4,4,Comptuer Science,7,2,3,5,3,3,2,7,,,,,0.7,1.0,1.0,0.8,0.6,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_3HTTvCWK5nBnegm,5.0,10/11/2020 16:02,10/11/2020 16:12,0,92.119.17.31,100,595,1,10/11/2020 16:12,,,,,33.748504638671875,-84.38710022,qr,EN,1,2,1,2,1,Computer Science,7,5,1,5,7,7,3,10,,,,,0.9,0.9,1.0,0.74,0.76,0.76,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_2fwwrpVHzpeXEhf,5.0,10/11/2020 16:02,10/11/2020 16:13,0,45.20.118.244,100,619,1,10/11/2020 16:13,,,,,29.5583953857421875,-98.74349976,qr,EN,1,2,2,4,4,Information Technology with Conc in Cyber Security,2,6,1,3,7,2,3,9,,,,,0.92,0.19,1.0,1.0,1.0,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_2bIeoc4fOEPUCL7,5.0,10/11/2020 16:09,10/11/2020 16:13,0,208.38.248.76,100,216,1,10/11/2020 16:13,,,,,40.44439697265625,-86.92559814,anonymous,EN,1,2,1,2,1,Cybersec,6,6,2,7,0,7,3,10,,,,,0.82,0.78,1.0,1.0,0.31,0.87,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_1pSzRd3kuPpevtP,5.0,10/11/2020 16:03,10/11/2020 16:13,0,70.179.167.221,100,613,1,10/11/2020 16:13,,,,,39.191802978515625,-96.58180237,qr,EN,1,2,1,2,3,Mathematics,3,3,1,3,,3,1,6,,,,,0.2,0.8,0.6,0.15,0.5,0.77,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_1LbNWOPF7ntaGkW,5.0,10/11/2020 16:04,10/11/2020 16:14,0,107.77.197.115,100,620,1,10/11/2020 16:14,,,,,32.6587066650390625,-97.16169739,qr,EN,1,2,1,3,3,Computer Information Systems,4,4,1,1,7,5,3,10,,,,,0.82,1.0,0.7,0.64,0.72,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_22XJsbnF1BlsnSe,5.0,10/11/2020 16:04,10/11/2020 16:14,0,107.167.108.72,100,608,1,10/11/2020 16:14,,,,,37.751007080078125,-97.8219986,qr,EN,1,2,1,3,4,Computer Science,7,3,2,7,7,3,3,9,,,,,1.0,1.0,1.0,1.0,0.82,0.69,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_3NURvQcLcJjIEbA,5.0,10/11/2020 16:04,10/11/2020 16:15,0,128.211.234.53,100,681,1,10/11/2020 16:15,,,,,40.44439697265625,-86.92559814,anonymous,EN,1,2,1,1,1,Computer Science,7,5,2,4,0,7,2,7,,,,,0.7,0.4,0.5,0.7,0.7,0.6,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_1C8EhlqrMpO4nKK,5.0,10/11/2020 16:03,10/11/2020 16:15,0,70.179.174.84,100,730,1,10/11/2020 16:15,,,,,39.191802978515625,-96.58180237,anonymous,EN,1,4,1,2,3,Computer Science (Cybersecurity Option),3,1,0,3,2,1,2,7,,,,,0.1,0.95,0.35,0.26,0.5,0.74,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_AGMebMp7KOrgJEt,5.0,10/11/2020 16:02,10/11/2020 16:17,0,129.119.235.5,100,852,1,10/11/2020 16:17,,,,,32.82659912109375,-96.7888031,qr,EN,1,2,1,1,3,Computer Science,1,3,,2,,1,3,10,,,,,0.43,0.94,1.0,0.77,0.93,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_CfaxdxyhfSKZ5ER,5.0,10/11/2020 16:07,10/11/2020 16:17,0,73.160.222.170,100,613,1,10/11/2020 16:17,,,,,39.884002685546875,-74.9720993,qr,EN,1,2,1,2,3,Computing and security technology,4,4,0,7,7,7,3,10,,,,,0.82,0.82,0.98,1.0,1.0,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_32VXKfTFM56vmCx,5.0,10/11/2020 16:03,10/11/2020 16:17,0,129.244.136.31,100,837,1,10/11/2020 16:17,,,,,36.1493072509765625,-95.94989777,anonymous,EN,1,1,1,3,4,Masters in Cybersecurity,7,7,3,4,1,4,3,10,,,,,0.71,1.0,1.0,0.8,1.0,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_2dXd3HjNDAP7F70,5.0,10/11/2020 16:03,10/11/2020 16:17,0,129.244.140.31,100,836,1,10/11/2020 16:17,,,,,36.1493072509765625,-95.94989777,anonymous,EN,3,2,1,3,1,Computer Science,7,6,1,5,2,5,3,10,,,,,1.0,1.0,0.82,0.71,0.73,0.74,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_O7kDFfJ9TUOgUQp,5.0,10/11/2020 16:02,10/11/2020 16:17,0,172.58.145.27,100,899,1,10/11/2020 16:17,,,,,38.14050293,-85.69360352,qr,EN,1,4,1,1,3,Computer Science,3,2,1,4,0,2,3,10,,,,,0.95,0.96,0.95,0.85,0.85,0.95,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_2CZAAsYLpBx3WhW,5.0,10/11/2020 16:05,10/11/2020 16:18,0,66.169.199.173,100,826,1,10/11/2020 16:18,,,,,32.82659912109375,-96.7888031,anonymous,EN,1,2,1,2,3,Computer Science,5,3,2,4,0,2,3,10,,,,,0.45,0.8,0.81,0.6,0.9,0.9,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_bq2QKoseBTWHnTr,5.0,10/11/2020 16:15,10/11/2020 16:29,0,134.129.227.202,100,885,1,10/11/2020 16:29,,,,,46.918792724609375,-96.82659912,qr,EN,1,2,1,2,3,Computer Science,3,2,0,5,0,1,3,10,,,,,0.3,0.3,0.6,0.7,0.55,0.7,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_3fxD8oQUmSdqufj,5.0,10/18/2020 6:16,10/18/2020 6:25,0,91.186.230.147,100,548,1,10/18/2020 6:25,,,,,31.9521942138671875,35.938995361328125,qr,EN,1,2,1,3,1,Networks and Information Security Engineering,2,3,1,2,3,7,3,10,,,,,,,0.0,0.0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_r1laroJEyNOO0al,5.0,10/18/2020 6:20,10/18/2020 6:28,0,92.97.139.214,100,489,1,10/18/2020 6:28,,,,,25.26330566,55.3087005615234375,qr,EN,1,2,1,4,3,Computing security,1,3,1,3,3,2,3,9,,,,,0.69,0.5,0.7,0.7,0.4,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_1HqVLz1sCBxOrVp,5.0,10/18/2020 6:18,10/18/2020 6:31,0,46.32.123.192,100,799,1,10/18/2020 6:31,,,,,31.9521942138671875,35.938995361328125,qr,EN,1,2,1,4,1,Networks and Information security engineering ,7,6,2,1,2,7,3,9,,,,,0.85,0.6,1.0,0.9,0.8,0.9,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_6XViOcHKsyP5buV,5.0,10/18/2020 6:16,10/18/2020 6:33,0,188.247.73.5,100,1030,1,10/18/2020 6:33,,,,,31.9521942138671875,35.938995361328125,qr,EN,1,1,1,3,3,Networks and Information Security Engineering,4,3,2,6,7,7,3,9,,,,,0.79,0.79,0.79,0.82,1.0,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_1C1LqPWzy1xtNlj,5.0,10/18/2020 6:18,10/18/2020 6:34,0,92.96.243.99,100,972,1,10/18/2020 6:34,,,,,25.356903076171875,55.404998779296875,anonymous,EN,1,1,1,4,3,Computing Security,1,5,2,5,4,3,3,9,,,,,0.65,0.9,0.8,0.6,0.9,0.75,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_2CkXIBtoAwnL8oC,5.0,10/11/2020 15:10,10/11/2020 15:11,0,71.150.115.50,4,7,0,10/18/2020 15:11,,,,,,,qr,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_By2iccJjXxSNflD,5.0,10/11/2020 15:13,10/11/2020 15:13,0,73.249.55.65,4,46,0,10/18/2020 15:14,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3Gg4SIzf3mlwYCy,5.0,10/11/2020 15:13,10/11/2020 15:13,0,68.205.105.221,4,35,0,10/18/2020 15:14,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2Y3rA8FyLa2gsIE,5.0,10/11/2020 15:12,10/11/2020 15:14,0,209.166.126.170,26,79,0,10/18/2020 15:14,,,,,,,anonymous,EN,1,2,1,1,3,Mathematics and Computer Science,7,3,,2,,7,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_33rmHnWB7q5lOVi,5.0,10/11/2020 15:11,10/11/2020 15:14,0,97.102.253.1,23,205,0,10/18/2020 15:14,,,,,,,anonymous,EN,1,2,1,1,4,Computer Science,1,1,1,5,0,2,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_eWBWzPIqkujZabn,5.0,10/11/2020 15:12,10/11/2020 15:14,0,209.166.126.170,49,120,0,10/18/2020 15:15,,,,,,,anonymous,EN,1,1,1,3,1,"Computer Science, Mathematics",3,4,2,4,,6,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2S6lwhnPaja49uz,5.0,10/11/2020 15:12,10/11/2020 15:15,0,208.64.158.255,26,164,0,10/18/2020 15:15,,,,,,,anonymous,EN,1,2,1,2,1,Computer Science,0,5,1,2,7,7,3,10,,,,,0.8,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3OrDbFlSqdc3vWU,5.0,10/11/2020 15:12,10/11/2020 15:16,0,107.77.237.127,23,185,0,10/18/2020 15:16,,,,,,,anonymous,EN,1,1,1,3,3,Cybersecurity ,1,1,0,2,7,3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2Xhg2YhpnZ2gX8I,5.0,10/11/2020 15:12,10/11/2020 15:19,0,108.207.10.214,23,397,0,10/18/2020 15:19,,,,,,,anonymous,EN,1,2,1,3,1,Cybersecurity,3,2,1,4,4,1,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_rlHxsMepAdExl3b,5.0,10/11/2020 15:20,10/11/2020 15:20,0,70.171.42.254,4,10,0,10/18/2020 15:21,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_sTeu0QXn3RuIqkh,5.0,10/11/2020 15:11,10/11/2020 15:21,0,97.102.213.253,49,606,0,10/18/2020 15:21,,,,,,,anonymous,EN,1,2,3,3,3,Computer Engineering,7,5,1,7,4,7,3,10,,,,,0.71,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3ZRS2TMSSvsEmVH,5.0,10/11/2020 15:11,10/11/2020 15:23,0,132.177.238.70,36,739,0,10/18/2020 15:23,,,,,,,qr,EN,1,2,1,1,1,CS,5,2,1,5,0,2,1,6,,,,,1.0,0.47,0.57,1.0,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
R_28GJFIPg6kosMlA,5.0,10/11/2020 15:12,10/11/2020 15:23,0,47.218.223.116,36,652,0,10/18/2020 15:23,,,,,,,anonymous,EN,1,4,1,3,1,Computer Science and Engineering,6,4,4,7,4,7,1,3,,,,,0.81,0.1,1.0,0.91,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3iJdGJMUCgMQHam,5.0,10/11/2020 15:12,10/11/2020 15:37,0,128.194.3.233,32,1449,0,10/18/2020 15:37,,,,,,,anonymous,EN,1,4,1,3,1,Computer Science,7,3,1,7,7,7,2,8,,,,,0.62,1.0,1.0,0.81,0.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
