StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Team ID,Gender,Age,Degree Status,Major,Formal Education,Experience_1,Experience_2,Experience_3,Differing abilities_1,Differing abilities_2,Differing abilities_3,CD-1,CD-2,CD-3,CD-4,OC-1,OC-2,OC-3,OC-4,OC-5,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5
2025-01-20 06:40:07,2025-01-20 06:46:55,IP Address,174.234.240.106,100,407,True,2025-01-20 06:46:56,R_7CCv1LHSEIucSWT,,,,,43.2318,-77.6607,anonymous,EN,Yes,Team 12,Male,18-24,Undergraduate/Full Time,,1 year,2,5,1,1,1,1,The members of my team differ in their way of thinking to a moderate extent.,The members of my team differ in their knowledge and skills to a moderate extent.,The members of my team differ in how they view the world to a moderate extent.,The members of my team differ in their beliefs about what is right and wrong to a moderate extent.,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,1,1,1,3,3
2025-01-20 06:46:50,2025-01-20 06:49:19,IP Address,129.21.255.108,100,148,True,2025-01-20 06:49:20,R_79uDbzKVNzwXuOf,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 12,Male,18-24,Undergraduate/Full Time,Cyber Operations,3+ years,6,5,1,2,,,The members of my team differ in their way of thinking to a somewhat large extent.,The members of my team differ in their knowledge and skills to a large extent.,The members of my team differ in how they view the world to a somewhat large extent.,The members of my team differ in their beliefs about what is right and wrong to a small extent.,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,1,1,3,5,5
2025-01-20 06:43:18,2025-01-20 06:49:35,IP Address,129.21.255.74,100,376,True,2025-01-20 06:49:36,R_5nUcpuWEl1naPtp,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 6,Male,18-24,Undergraduate/Full Time,Cybersecurity,1 year,1,2,1,4,1,1,The members of my team differ in their way of thinking to a moderate extent.,The members of my team differ in their knowledge and skillsto a somewhat large extent.,The members of my team differ in how they view the world to a somewhat small extent.,The members of my team differ in their beliefs about what is right and wrong to a very small extent.,Strongly Agree,Strongly Agree,Agree,Agree,Agree,1,1,2,1,1
2025-01-20 06:53:50,2025-01-20 07:00:01,IP Address,129.21.255.88,100,371,True,2025-01-20 07:00:02,R_6MyvZL7HRaVSvO2,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 8,Male,18-24,Undergraduate/Part Time,Computer Engineering,0 years,2,5,2,2,1,2,The members of my team differ in their way of thinking to a somewhat large extent.,The members of my team differ in their knowledge and skills to a moderate extent.,The members of my team differ in how they view the world to a moderate extent.,The members of my team differ in their beliefs about what is right and wrong to a moderate extent.,Agree,Strongly Agree,Strongly Agree,Agree,Agree,1,2,3,1,2
2025-01-20 06:59:47,2025-01-20 07:03:58,IP Address,216.79.19.19,100,250,True,2025-01-20 07:03:58,R_1C1FHUPWFXwl4Ca,,,,,41.8483,-87.6517,anonymous,EN,Yes,Team 5,Male,18-24,Undergraduate/Full Time,computer science,0 years,1,5,1,2,1,2,The members of my team differ in their way of thinking to a moderate extent.,The members of my team differ in their knowledge and skills to a large extent.,The members of my team differ in how they view the world to a moderate extent.,The members of my team differ in their beliefs about what is right and wrong to a small extent.,Agree,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,1,1,1,1,1
2025-01-20 07:00:49,2025-01-20 07:13:53,IP Address,216.79.19.88,100,783,True,2025-01-20 07:13:54,R_3CDfKDKDh1Yu9Uw,,,,,41.8483,-87.6517,anonymous,EN,Yes,Team 11,Female,18-24,Undergraduate/Part Time,Computer Science and Cybersecurity,2 years,5,4,7,4,1,4,The members of my team differ in their way of thinking to a somewhat large extent.,The members of my team differ in their knowledge and skills to a moderate extent.,The members of my team differ in how they view the world to a somewhat small extent.,The members of my team differ in their beliefs about what is right and wrong to a somewhat small extent.,Agree,Agree,Agree,Disagree,Strongly Disagree,4,1,1,1,2
2025-01-20 07:46:32,2025-01-20 07:53:23,IP Address,129.21.255.77,100,411,True,2025-01-20 07:53:24,R_1MyUvemc0rYWdyP,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 8,Male,18-24,Undergraduate/Full Time,CIS,1 year,3,4,1,1,1,1,The members of my team differ in their way of thinking to a somewhat small extent.,The members of my team differ in their knowledge and skills to a moderate extent.,The members of my team differ in how they view the world to a small extent.,The members of my team differ in their beliefs about what is right and wrong to a small extent.,Strongly Agree,Agree,Agree,Agree,Agree,1,2,1,1,1
2025-01-20 07:52:59,2025-01-20 08:04:55,IP Address,129.21.255.79,100,715,True,2025-01-20 08:04:56,R_7IZ46mu1JAuyGsh,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 8,Male,25-29,Undergraduate/Full Time,Computer Science,1 year,4,3,1,5,2,5,The members of my team differ in their way of thinking to a somewhat small extent.,The members of my team differ in their knowledge and skills to a moderate extent.,The members of my team differ in how they view the world to a moderate extent.,The members of my team differ in their beliefs about what is right and wrong to a moderate extent.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1,1,1,1,1
2025-01-20 08:18:10,2025-01-20 08:31:50,IP Address,129.21.255.108,100,820,True,2025-01-20 08:31:50,R_67jrl62hHhu907D,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 10,Male,18-24,Undergraduate/Full Time,Networks and Information Security Engineering,3+ years,7,6,2,1,1,1,The members of my team differ in their way of thinking to a somewhat large extent.,The members of my team differ in their knowledge and skills to a moderate extent.,The members of my team differ in how they view the world to a somewhat small extent.,The members of my team differ in their beliefs about what is right and wrong to a moderate extent.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,4,4,5,5,5
2025-01-20 09:26:58,2025-01-20 09:29:03,IP Address,129.21.255.107,100,124,True,2025-01-20 09:29:04,R_1qdAZ7Gu7S5nkhl,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 4,Male,18-24,Graduate/Full Time,Cybersecurity,3+ years,5,5,1,4,1,4,The members of my team differ in their way of thinking to a somewhat large extent.,The members of my team differ in their knowledge and skills to a moderate extent.,The members of my team differ in how they view the world to a very large extent.,The members of my team differ in their beliefs about what is right and wrong to a somewhat large extent.,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,1,1,1,1,1
2025-01-20 09:26:58,2025-01-20 09:29:37,IP Address,129.21.255.103,100,159,True,2025-01-20 09:29:38,R_5H6UUh65hSrfnWo,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 4,Male,18-24,Undergraduate/Full Time,"Cybersecurity ",3+ years,6,2,2,1,1,1,The members of my team differ in their way of thinking to a moderate extent.,The members of my team differ in their knowledge and skills to a somewhat small extent.,The members of my team differ in how they view the world to a somewhat large extent.,The members of my team differ in their beliefs about what is right and wrong to a somewhat small extent.,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,1,1,3,4,5
2025-01-20 09:27:43,2025-01-20 09:30:37,IP Address,104.28.103.33,100,173,True,2025-01-20 09:30:37,R_5rvCXXRDQwdac37,,,,,41.6692,-83.5519,anonymous,EN,Yes,Team 4,Male,18-24,Undergraduate/Part Time,Cyber,1 year,5,5,1,1,1,1,The members of my team differ in their way of thinking to a moderate extent.,The members of my team differ in their knowledge and skills to a moderate extent.,The members of my team differ in how they view the world to a moderate extent.,The members of my team differ in their beliefs about what is right and wrong to a somewhat large extent.,Strongly Agree,Agree,Agree,Agree,Agree,3,3,3,3,3
2025-01-20 10:01:55,2025-01-20 10:02:49,IP Address,169.197.140.144,100,53,True,2025-01-20 10:02:49,R_1cH4MlOzK9j3Tfr,,,,,25.7701,-80.1928,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20 10:03:16,2025-01-20 10:09:55,IP Address,129.21.255.77,100,399,True,2025-01-20 10:09:55,R_1B0eUEVDs5Ak0tb,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 1,Male,18-24,Graduate/Full Time,Computer Science,3+ years,7,7,3,2,1,1,The members of my team differ in their way of thinking to a somewhat large extent.,The members of my team differ in their knowledge and skillsto a somewhat large extent.,The members of my team differ in how they view the world to a moderate extent.,The members of my team differ in their beliefs about what is right and wrong to a somewhat small extent.,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,1,2,4,3,3
2025-01-20 12:03:21,2025-01-20 12:03:45,IP Address,129.21.255.103,100,23,True,2025-01-20 12:03:46,R_12s8phTQxta8FwG,,,,,43.0801,-77.6342,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20 09:28:04,2025-01-20 12:05:13,IP Address,129.21.255.101,100,9429,True,2025-01-20 12:05:13,R_7GEJIPSKs5MrueJ,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 4,Male,18-24,Graduate/Full Time,cys,3+ years,5,7,2,1,1,1,The members of my team differ in their way of thinking to a moderate extent.,The members of my team differ in their knowledge and skills to a somewhat small extent.,The members of my team differ in how they view the world to a moderate extent.,The members of my team differ in their beliefs about what is right and wrong to a moderate extent.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,1,1,1,1,1
2025-01-20 12:03:15,2025-01-20 12:06:42,IP Address,104.28.55.230,100,206,True,2025-01-20 12:06:42,R_3LuMMwZY8i808S1,,,,,40.7809,-73.9502,anonymous,EN,Yes,Team 5,Male,18-24,Undergraduate/Full Time,Computer science,3+ years,5,5,3,3,3,1,The members of my team differ in their way of thinking to a moderate extent.,The members of my team differ in their knowledge and skillsto a somewhat large extent.,The members of my team differ in how they view the world to a somewhat large extent.,The members of my team differ in their beliefs about what is right and wrong to a moderate extent.,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,2,2,3,3,5
2025-01-20 12:08:27,2025-01-20 12:11:54,IP Address,104.28.235.38,100,207,True,2025-01-20 12:11:55,R_1PXD5upCcdsMG9r,,,,,43.1567,-77.6107,anonymous,EN,Yes,Team 6,Male,18-24,Undergraduate/Full Time,Comp sci: cyber,3+ years,3,5,1,2,1,1,The members of my team differ in their way of thinking to a moderate extent.,The members of my team differ in their knowledge and skillsto a somewhat large extent.,The members of my team differ in how they view the world to a small extent.,The members of my team differ in their beliefs about what is right and wrong to a very small extent.,Agree,Agree,Strongly Agree,Agree,Strongly Agree,1,3,4,5,4
2025-01-20 12:04:34,2025-01-20 12:12:04,IP Address,129.21.255.85,100,450,True,2025-01-20 12:12:05,R_5uDKMjwxJSTAsef,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 1,Male,18-24,Undergraduate/Full Time,CS,0 years,1,2,1,1,1,1,The members of my team differ in their way of thinking to a moderate extent.,The members of my team differ in their knowledge and skillsto a somewhat large extent.,The members of my team differ in how they view the world to a small extent.,The members of my team differ in their beliefs about what is right and wrong to a small extent.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3,3,3,3,3
2025-01-20 12:05:49,2025-01-20 12:15:21,IP Address,104.28.55.229,100,571,True,2025-01-20 12:15:21,R_1qeOpcjYKwlBHXh,,,,,40.7263,-73.9818,anonymous,EN,Yes,Team 1,Female,18-24,Undergraduate/Part Time,Computer Science,0 years,1,4,1,1,1,1,The members of my team differ in their way of thinking to a somewhat small extent.,The members of my team differ in their knowledge and skills to a moderate extent.,The members of my team differ in how they view the world to a moderate extent.,The members of my team differ in their beliefs about what is right and wrong to a moderate extent.,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,1,1,1,2,2
2025-01-21 19:24:53,2025-01-21 19:28:56,IP Address,104.222.18.161,100,243,True,2025-01-21 19:28:57,R_5ojag1v1ZYhEaGJ,,,,,29.6467,-82.3284,anonymous,EN,Yes,Team 5,Male,18-24,Undergraduate/Full Time,,0 years,7,3,3,4,1,3,The members of my team differ in their way of thinking to a somewhat large extent.,The members of my team differ in their knowledge and skills to a large extent.,The members of my team differ in how they view the world to a moderate extent.,The members of my team differ in their beliefs about what is right and wrong to a small extent.,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,1,1,1,1,2
2025-01-20 06:30:32,2025-01-20 06:33:41,IP Address,129.21.255.108,50,189,False,2025-01-27 06:33:42,R_7z6GbY06TlifWf2,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 10,Male,18-24,Undergraduate/Full Time,Networks and Information Security Engineering,3+ years,7,6,2,2,1,1,,,,,,,,,,,,,,
2025-01-20 06:30:18,2025-01-20 08:15:34,IP Address,129.21.255.105,15,6315,False,2025-01-27 08:15:35,R_3lgzckL209urs1W,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20 12:00:48,2025-01-20 12:02:29,IP Address,129.21.255.94,50,101,False,2025-01-27 12:02:33,R_5DNNHuZFPaJQ1F1,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 2,Other/Prefer not to answer,Other/Prefer not to answer,Undergraduate/Full Time,Cybersecurity,2 years,7,4,1,3,,,,,,,,,,,,,,,,
2025-01-20 12:04:19,2025-01-20 12:04:37,IP Address,174.208.47.226,15,18,False,2025-01-27 12:04:42,R_5GPN9y4ZtuQpsDT,,,,,42.9767,-78.7959,anonymous,EN,Yes,Team 7,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20 12:04:39,2025-01-20 12:05:02,IP Address,216.79.19.134,10,22,False,2025-01-27 12:05:05,R_397aRjkTk0qFDhC,,,,,41.8483,-87.6517,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20 12:04:34,2025-01-20 12:05:27,IP Address,129.21.255.105,30,53,False,2025-01-27 12:05:33,R_1kELmE2Qw7tomVX,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 10,Male,18-24,Undergraduate/Full Time,,,,,,,,,,,,,,,,,,,,,,
2025-01-20 12:04:39,2025-01-20 12:07:34,IP Address,174.208.42.224,50,174,False,2025-01-27 12:07:39,R_7gHCoKUSglInBp0,,,,,43.1394,-77.6463,anonymous,EN,Yes,Team 7,Male,18-24,Undergraduate/Full Time,Computer Science,3+ years,7,6,2,1,1,1,,,,,,,,,,,,,,
2025-01-20 12:08:34,2025-01-20 12:08:45,IP Address,129.21.255.75,15,11,False,2025-01-27 12:08:49,R_7JYWqaHe3Peh1fP,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 4,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20 12:11:34,2025-01-20 12:12:05,IP Address,129.21.255.71,30,31,False,2025-01-27 12:12:10,R_5veRUnbhgUum1AB,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 1,Male,18-24,Undergraduate/Full Time,,,,,,,,,,,,,,,,,,,,,,
2025-01-28 13:37:11,2025-01-28 13:39:07,IP Address,172.56.198.95,100,116,True,2025-01-28 13:39:08,R_6awSxjNYy7y8kdc,,,,,42.415,-71.1061,anonymous,EN,Yes,Team 6,Other/Prefer not to answer,Other/Prefer not to answer,Non-matriculated,THIS IS JUSTIN PELLETIER - THROW OUT THIS RESPONSE,2 years,4,4,4,3,,,,,,,,,,,,3,3,3,3,3
2025-01-22 07:49:30,2025-01-22 07:49:40,IP Address,47.199.226.10,15,9,False,2025-01-29 07:49:41,R_1kwYVZQLcdIoEp3,,,,,28.0406,-82.3951,anonymous,EN,Yes,Team 4,,,,,,,,,,,,,,,,,,,,,,,,,
